subject,session,emotion_code,emotion_name,n_frames,npy_path,n_missing_frames,status
S044,006,3,disgust,19,/kaggle/working/landmarks/S044_006_disgust.npy,0,ok
S045,004,3,disgust,15,/kaggle/working/landmarks/S045_004_disgust.npy,0,ok
S045,005,1,anger,30,/kaggle/working/landmarks/S045_005_anger.npy,0,ok
S046,001,6,sadness,25,/kaggle/working/landmarks/S046_001_sadness.npy,0,ok
S046,002,7,surprise,6,/kaggle/working/landmarks/S046_002_surprise.npy,0,ok
S046,003,4,fear,16,/kaggle/working/landmarks/S046_003_fear.npy,0,ok
S046,004,3,disgust,17,/kaggle/working/landmarks/S046_004_disgust.npy,0,ok
S050,001,4,fear,17,/kaggle/working/landmarks/S050_001_fear.npy,0,ok
S050,002,7,surprise,18,/kaggle/working/landmarks/S050_002_surprise.npy,0,ok
S050,004,1,anger,21,/kaggle/working/landmarks/S050_004_anger.npy,0,ok
S050,006,5,happiness,23,/kaggle/working/landmarks/S050_006_happiness.npy,0,ok
S051,002,7,surprise,19,/kaggle/working/landmarks/S051_002_surprise.npy,0,ok
S051,003,3,disgust,18,/kaggle/working/landmarks/S051_003_disgust.npy,0,ok
S052,001,7,surprise,15,/kaggle/working/landmarks/S052_001_surprise.npy,0,ok
S052,004,5,happiness,33,/kaggle/working/landmarks/S052_004_happiness.npy,0,ok
S052,006,3,disgust,13,/kaggle/working/landmarks/S052_006_disgust.npy,0,ok
S053,001,7,surprise,23,/kaggle/working/landmarks/S053_001_surprise.npy,0,ok
S053,004,5,happiness,24,/kaggle/working/landmarks/S053_004_happiness.npy,0,ok
S054,002,4,fear,15,/kaggle/working/landmarks/S054_002_fear.npy,0,ok
S054,003,7,surprise,7,/kaggle/working/landmarks/S054_003_surprise.npy,0,ok
S054,004,3,disgust,24,/kaggle/working/landmarks/S054_004_disgust.npy,0,ok
S055,001,7,surprise,12,/kaggle/working/landmarks/S055_001_surprise.npy,0,ok
S055,003,3,disgust,9,/kaggle/working/landmarks/S055_003_disgust.npy,0,ok
S055,004,1,anger,28,/kaggle/working/landmarks/S055_004_anger.npy,0,ok
S055,005,5,happiness,45,/kaggle/working/landmarks/S055_005_happiness.npy,0,ok
S055,006,4,fear,8,/kaggle/working/landmarks/S055_006_fear.npy,0,ok
S056,002,3,disgust,10,/kaggle/working/landmarks/S056_002_disgust.npy,0,ok
S056,003,7,surprise,10,/kaggle/working/landmarks/S056_003_surprise.npy,0,ok
S056,004,5,happiness,20,/kaggle/working/landmarks/S056_004_happiness.npy,0,ok
S057,001,7,surprise,19,/kaggle/working/landmarks/S057_001_surprise.npy,0,ok
S057,003,3,disgust,15,/kaggle/working/landmarks/S057_003_disgust.npy,0,ok
S057,006,5,happiness,33,/kaggle/working/landmarks/S057_006_happiness.npy,0,ok
S058,001,7,surprise,20,/kaggle/working/landmarks/S058_001_surprise.npy,0,ok
S058,005,1,anger,10,/kaggle/working/landmarks/S058_005_anger.npy,0,ok
S058,006,3,disgust,18,/kaggle/working/landmarks/S058_006_disgust.npy,0,ok
S059,001,7,surprise,18,/kaggle/working/landmarks/S059_001_surprise.npy,0,ok
S059,002,4,fear,17,/kaggle/working/landmarks/S059_002_fear.npy,0,ok
S060,002,5,happiness,26,/kaggle/working/landmarks/S060_002_happiness.npy,0,ok
S060,003,7,surprise,18,/kaggle/working/landmarks/S060_003_surprise.npy,0,ok
S060,005,3,disgust,21,/kaggle/working/landmarks/S060_005_disgust.npy,0,ok
S061,001,7,surprise,12,/kaggle/working/landmarks/S061_001_surprise.npy,0,ok
S061,002,5,happiness,15,/kaggle/working/landmarks/S061_002_happiness.npy,0,ok
S061,004,3,disgust,22,/kaggle/working/landmarks/S061_004_disgust.npy,0,ok
S062,001,4,fear,17,/kaggle/working/landmarks/S062_001_fear.npy,0,ok
S062,002,7,surprise,16,/kaggle/working/landmarks/S062_002_surprise.npy,0,ok
S062,004,5,happiness,24,/kaggle/working/landmarks/S062_004_happiness.npy,0,ok
S062,005,3,disgust,29,/kaggle/working/landmarks/S062_005_disgust.npy,0,ok
S063,001,7,surprise,13,/kaggle/working/landmarks/S063_001_surprise.npy,0,ok
S063,002,5,happiness,23,/kaggle/working/landmarks/S063_002_happiness.npy,0,ok
S064,001,7,surprise,12,/kaggle/working/landmarks/S064_001_surprise.npy,0,ok
S064,003,5,happiness,25,/kaggle/working/landmarks/S064_003_happiness.npy,0,ok
S064,004,6,sadness,14,/kaggle/working/landmarks/S064_004_sadness.npy,0,ok
S065,002,4,fear,22,/kaggle/working/landmarks/S065_002_fear.npy,0,ok
S065,003,7,surprise,22,/kaggle/working/landmarks/S065_003_surprise.npy,0,ok
S065,004,5,happiness,28,/kaggle/working/landmarks/S065_004_happiness.npy,0,ok
S065,005,3,disgust,8,/kaggle/working/landmarks/S065_005_disgust.npy,0,ok
S066,002,7,surprise,22,/kaggle/working/landmarks/S066_002_surprise.npy,0,ok
S066,003,5,happiness,12,/kaggle/working/landmarks/S066_003_happiness.npy,0,ok
S066,004,6,sadness,10,/kaggle/working/landmarks/S066_004_sadness.npy,0,ok
S066,005,1,anger,11,/kaggle/working/landmarks/S066_005_anger.npy,0,ok
S067,002,7,surprise,14,/kaggle/working/landmarks/S067_002_surprise.npy,0,ok
S067,004,1,anger,23,/kaggle/working/landmarks/S067_004_anger.npy,0,ok
S067,005,5,happiness,22,/kaggle/working/landmarks/S067_005_happiness.npy,0,ok
S067,006,3,disgust,11,/kaggle/working/landmarks/S067_006_disgust.npy,0,ok
S068,002,5,happiness,15,/kaggle/working/landmarks/S068_002_happiness.npy,0,ok
S068,003,7,surprise,14,/kaggle/working/landmarks/S068_003_surprise.npy,0,ok
S068,004,4,fear,10,/kaggle/working/landmarks/S068_004_fear.npy,0,ok
S068,005,3,disgust,21,/kaggle/working/landmarks/S068_005_disgust.npy,0,ok
S069,002,7,surprise,14,/kaggle/working/landmarks/S069_002_surprise.npy,0,ok
S069,003,3,disgust,11,/kaggle/working/landmarks/S069_003_disgust.npy,0,ok
S069,004,5,happiness,17,/kaggle/working/landmarks/S069_004_happiness.npy,0,ok
S070,002,7,surprise,16,/kaggle/working/landmarks/S070_002_surprise.npy,0,ok
S070,003,5,happiness,17,/kaggle/working/landmarks/S070_003_happiness.npy,0,ok
S070,005,3,disgust,16,/kaggle/working/landmarks/S070_005_disgust.npy,0,ok
S071,001,7,surprise,13,/kaggle/working/landmarks/S071_001_surprise.npy,0,ok
S071,002,6,sadness,20,/kaggle/working/landmarks/S071_002_sadness.npy,0,ok
S071,004,1,anger,28,/kaggle/working/landmarks/S071_004_anger.npy,0,ok
S071,005,5,happiness,21,/kaggle/working/landmarks/S071_005_happiness.npy,0,ok
S071,006,3,disgust,14,/kaggle/working/landmarks/S071_006_disgust.npy,0,ok
S072,005,1,anger,19,/kaggle/working/landmarks/S072_005_anger.npy,0,ok
S072,006,5,happiness,22,/kaggle/working/landmarks/S072_006_happiness.npy,0,ok
S073,001,7,surprise,13,/kaggle/working/landmarks/S073_001_surprise.npy,0,ok
S073,006,3,disgust,14,/kaggle/working/landmarks/S073_006_disgust.npy,0,ok
S074,001,4,fear,20,/kaggle/working/landmarks/S074_001_fear.npy,0,ok
S074,002,7,surprise,16,/kaggle/working/landmarks/S074_002_surprise.npy,0,ok
S074,004,3,disgust,18,/kaggle/working/landmarks/S074_004_disgust.npy,0,ok
S074,005,5,happiness,43,/kaggle/working/landmarks/S074_005_happiness.npy,0,ok
S075,002,7,surprise,14,/kaggle/working/landmarks/S075_002_surprise.npy,0,ok
S075,005,3,disgust,12,/kaggle/working/landmarks/S075_005_disgust.npy,0,ok
S075,006,5,happiness,25,/kaggle/working/landmarks/S075_006_happiness.npy,0,ok
S075,008,1,anger,12,/kaggle/working/landmarks/S075_008_anger.npy,0,ok
S076,001,7,surprise,17,/kaggle/working/landmarks/S076_001_surprise.npy,0,ok
S076,005,3,disgust,12,/kaggle/working/landmarks/S076_005_disgust.npy,0,ok
S076,006,5,happiness,19,/kaggle/working/landmarks/S076_006_happiness.npy,0,ok
S077,001,7,surprise,28,/kaggle/working/landmarks/S077_001_surprise.npy,0,ok
S077,006,3,disgust,14,/kaggle/working/landmarks/S077_006_disgust.npy,0,ok
S078,001,7,surprise,33,/kaggle/working/landmarks/S078_001_surprise.npy,0,ok
S078,004,5,happiness,27,/kaggle/working/landmarks/S078_004_happiness.npy,0,ok
S078,007,3,disgust,13,/kaggle/working/landmarks/S078_007_disgust.npy,0,ok
S079,001,7,surprise,12,/kaggle/working/landmarks/S079_001_surprise.npy,0,ok
S079,002,3,disgust,12,/kaggle/working/landmarks/S079_002_disgust.npy,0,ok
S079,004,5,happiness,26,/kaggle/working/landmarks/S079_004_happiness.npy,0,ok
S080,001,7,surprise,18,/kaggle/working/landmarks/S080_001_surprise.npy,0,ok
S080,005,6,sadness,13,/kaggle/working/landmarks/S080_005_sadness.npy,0,ok
S080,008,3,disgust,9,/kaggle/working/landmarks/S080_008_disgust.npy,0,ok
S081,001,7,surprise,19,/kaggle/working/landmarks/S081_001_surprise.npy,0,ok
S081,002,6,sadness,24,/kaggle/working/landmarks/S081_002_sadness.npy,0,ok
S081,008,3,disgust,11,/kaggle/working/landmarks/S081_008_disgust.npy,0,ok
S082,001,7,surprise,15,/kaggle/working/landmarks/S082_001_surprise.npy,0,ok
S082,005,1,anger,17,/kaggle/working/landmarks/S082_005_anger.npy,0,ok
S082,007,3,disgust,10,/kaggle/working/landmarks/S082_007_disgust.npy,0,ok
S083,003,5,happiness,19,/kaggle/working/landmarks/S083_003_happiness.npy,0,ok
S084,001,7,surprise,10,/kaggle/working/landmarks/S084_001_surprise.npy,0,ok
S084,002,4,fear,23,/kaggle/working/landmarks/S084_002_fear.npy,0,ok
S085,002,5,happiness,14,/kaggle/working/landmarks/S085_002_happiness.npy,0,ok
S085,003,7,surprise,13,/kaggle/working/landmarks/S085_003_surprise.npy,0,ok
S085,004,3,disgust,17,/kaggle/working/landmarks/S085_004_disgust.npy,0,ok
S086,001,7,surprise,19,/kaggle/working/landmarks/S086_001_surprise.npy,0,ok
S086,002,5,happiness,15,/kaggle/working/landmarks/S086_002_happiness.npy,0,ok
S087,001,7,surprise,11,/kaggle/working/landmarks/S087_001_surprise.npy,0,ok
S087,004,3,disgust,12,/kaggle/working/landmarks/S087_004_disgust.npy,0,ok
S087,005,5,happiness,12,/kaggle/working/landmarks/S087_005_happiness.npy,0,ok
S087,007,1,anger,16,/kaggle/working/landmarks/S087_007_anger.npy,0,ok
S088,001,7,surprise,17,/kaggle/working/landmarks/S088_001_surprise.npy,0,ok
S088,004,3,disgust,20,/kaggle/working/landmarks/S088_004_disgust.npy,0,ok
S089,001,7,surprise,16,/kaggle/working/landmarks/S089_001_surprise.npy,0,ok
S089,002,5,happiness,21,/kaggle/working/landmarks/S089_002_happiness.npy,0,ok
S089,003,1,anger,36,/kaggle/working/landmarks/S089_003_anger.npy,0,ok
S090,002,7,surprise,11,/kaggle/working/landmarks/S090_002_surprise.npy,0,ok
S090,006,3,disgust,11,/kaggle/working/landmarks/S090_006_disgust.npy,0,ok
S090,007,1,anger,14,/kaggle/working/landmarks/S090_007_anger.npy,0,ok
S091,001,4,fear,15,/kaggle/working/landmarks/S091_001_fear.npy,0,ok
S091,003,5,happiness,21,/kaggle/working/landmarks/S091_003_happiness.npy,0,ok
S092,001,7,surprise,17,/kaggle/working/landmarks/S092_001_surprise.npy,0,ok
S092,003,1,anger,14,/kaggle/working/landmarks/S092_003_anger.npy,0,ok
S092,004,5,happiness,24,/kaggle/working/landmarks/S092_004_happiness.npy,0,ok
S093,001,6,sadness,20,/kaggle/working/landmarks/S093_001_sadness.npy,0,ok
S093,004,5,happiness,16,/kaggle/working/landmarks/S093_004_happiness.npy,0,ok
S094,001,7,surprise,10,/kaggle/working/landmarks/S094_001_surprise.npy,0,ok
S094,004,5,happiness,12,/kaggle/working/landmarks/S094_004_happiness.npy,0,ok
S095,001,7,surprise,16,/kaggle/working/landmarks/S095_001_surprise.npy,0,ok
S095,006,3,disgust,13,/kaggle/working/landmarks/S095_006_disgust.npy,0,ok
S095,007,5,happiness,21,/kaggle/working/landmarks/S095_007_happiness.npy,0,ok
S095,010,6,sadness,14,/kaggle/working/landmarks/S095_010_sadness.npy,0,ok
S096,001,7,surprise,7,/kaggle/working/landmarks/S096_001_surprise.npy,0,ok
S096,003,3,disgust,12,/kaggle/working/landmarks/S096_003_disgust.npy,0,ok
S096,004,5,happiness,11,/kaggle/working/landmarks/S096_004_happiness.npy,0,ok
S097,001,7,surprise,21,/kaggle/working/landmarks/S097_001_surprise.npy,0,ok
S097,004,3,disgust,30,/kaggle/working/landmarks/S097_004_disgust.npy,0,ok
S097,006,5,happiness,19,/kaggle/working/landmarks/S097_006_happiness.npy,0,ok
S098,003,3,disgust,13,/kaggle/working/landmarks/S098_003_disgust.npy,0,ok
S098,004,5,happiness,15,/kaggle/working/landmarks/S098_004_happiness.npy,0,ok
S099,001,7,surprise,14,/kaggle/working/landmarks/S099_001_surprise.npy,0,ok
S099,004,5,happiness,15,/kaggle/working/landmarks/S099_004_happiness.npy,0,ok
S099,007,3,disgust,12,/kaggle/working/landmarks/S099_007_disgust.npy,0,ok
S100,002,7,surprise,15,/kaggle/working/landmarks/S100_002_surprise.npy,0,ok
S100,005,1,anger,23,/kaggle/working/landmarks/S100_005_anger.npy,0,ok
S100,006,5,happiness,16,/kaggle/working/landmarks/S100_006_happiness.npy,0,ok
S101,002,7,surprise,19,/kaggle/working/landmarks/S101_002_surprise.npy,0,ok
S102,002,7,surprise,18,/kaggle/working/landmarks/S102_002_surprise.npy,0,ok
S102,003,4,fear,16,/kaggle/working/landmarks/S102_003_fear.npy,0,ok
S102,009,3,disgust,15,/kaggle/working/landmarks/S102_009_disgust.npy,0,ok
S105,008,3,disgust,10,/kaggle/working/landmarks/S105_008_disgust.npy,0,ok
S106,002,6,sadness,16,/kaggle/working/landmarks/S106_002_sadness.npy,0,ok
S106,004,3,disgust,8,/kaggle/working/landmarks/S106_004_disgust.npy,0,ok
S106,006,5,happiness,11,/kaggle/working/landmarks/S106_006_happiness.npy,0,ok
S107,001,7,surprise,10,/kaggle/working/landmarks/S107_001_surprise.npy,0,ok
S107,005,3,disgust,11,/kaggle/working/landmarks/S107_005_disgust.npy,0,ok
S108,005,6,sadness,22,/kaggle/working/landmarks/S108_005_sadness.npy,0,ok
S108,006,3,disgust,20,/kaggle/working/landmarks/S108_006_disgust.npy,0,ok
S108,008,5,happiness,13,/kaggle/working/landmarks/S108_008_happiness.npy,0,ok
S109,003,1,anger,17,/kaggle/working/landmarks/S109_003_anger.npy,0,ok
S109,005,3,disgust,14,/kaggle/working/landmarks/S109_005_disgust.npy,0,ok
S109,006,5,happiness,15,/kaggle/working/landmarks/S109_006_happiness.npy,0,ok
S110,001,7,surprise,13,/kaggle/working/landmarks/S110_001_surprise.npy,0,ok
S111,001,7,surprise,14,/kaggle/working/landmarks/S111_001_surprise.npy,0,ok
S111,006,1,anger,10,/kaggle/working/landmarks/S111_006_anger.npy,0,ok
S111,007,3,disgust,14,/kaggle/working/landmarks/S111_007_disgust.npy,0,ok
S112,005,1,anger,17,/kaggle/working/landmarks/S112_005_anger.npy,0,ok
S113,001,7,surprise,12,/kaggle/working/landmarks/S113_001_surprise.npy,0,ok
S113,003,6,sadness,15,/kaggle/working/landmarks/S113_003_sadness.npy,0,ok
S113,008,1,anger,23,/kaggle/working/landmarks/S113_008_anger.npy,0,ok
S114,001,7,surprise,18,/kaggle/working/landmarks/S114_001_surprise.npy,0,ok
S114,006,5,happiness,23,/kaggle/working/landmarks/S114_006_happiness.npy,0,ok
S115,001,7,surprise,8,/kaggle/working/landmarks/S115_001_surprise.npy,0,ok
S115,004,6,sadness,17,/kaggle/working/landmarks/S115_004_sadness.npy,0,ok
S115,008,5,happiness,17,/kaggle/working/landmarks/S115_008_happiness.npy,0,ok
S116,001,7,surprise,14,/kaggle/working/landmarks/S116_001_surprise.npy,0,ok
S116,006,3,disgust,7,/kaggle/working/landmarks/S116_006_disgust.npy,0,ok
S116,007,5,happiness,17,/kaggle/working/landmarks/S116_007_happiness.npy,0,ok
S117,001,7,surprise,14,/kaggle/working/landmarks/S117_001_surprise.npy,0,ok
S117,003,4,fear,14,/kaggle/working/landmarks/S117_003_fear.npy,0,ok
S117,006,1,anger,10,/kaggle/working/landmarks/S117_006_anger.npy,0,ok
S119,001,7,surprise,11,/kaggle/working/landmarks/S119_001_surprise.npy,0,ok
S119,003,4,fear,24,/kaggle/working/landmarks/S119_003_fear.npy,0,ok
S119,008,1,anger,18,/kaggle/working/landmarks/S119_008_anger.npy,0,ok
S122,001,7,surprise,12,/kaggle/working/landmarks/S122_001_surprise.npy,0,ok
S124,001,7,surprise,14,/kaggle/working/landmarks/S124_001_surprise.npy,0,ok
S124,003,4,fear,11,/kaggle/working/landmarks/S124_003_fear.npy,0,ok
S124,006,3,disgust,11,/kaggle/working/landmarks/S124_006_disgust.npy,0,ok
S124,007,5,happiness,24,/kaggle/working/landmarks/S124_007_happiness.npy,0,ok
S125,001,6,sadness,14,/kaggle/working/landmarks/S125_001_sadness.npy,0,ok
S125,005,5,happiness,13,/kaggle/working/landmarks/S125_005_happiness.npy,0,ok
S125,006,4,fear,22,/kaggle/working/landmarks/S125_006_fear.npy,0,ok
S125,007,7,surprise,9,/kaggle/working/landmarks/S125_007_surprise.npy,0,ok
S125,008,3,disgust,10,/kaggle/working/landmarks/S125_008_disgust.npy,0,ok
S126,004,7,surprise,12,/kaggle/working/landmarks/S126_004_surprise.npy,0,ok
S126,008,1,anger,29,/kaggle/working/landmarks/S126_008_anger.npy,0,ok
S127,001,7,surprise,17,/kaggle/working/landmarks/S127_001_surprise.npy,0,ok
S127,004,5,happiness,16,/kaggle/working/landmarks/S127_004_happiness.npy,0,ok
S127,010,1,anger,18,/kaggle/working/landmarks/S127_010_anger.npy,0,ok
S128,004,3,disgust,13,/kaggle/working/landmarks/S128_004_disgust.npy,0,ok
S128,011,5,happiness,16,/kaggle/working/landmarks/S128_011_happiness.npy,0,ok
S129,002,7,surprise,11,/kaggle/working/landmarks/S129_002_surprise.npy,0,ok
S129,006,1,anger,10,/kaggle/working/landmarks/S129_006_anger.npy,0,ok
S129,011,3,disgust,18,/kaggle/working/landmarks/S129_011_disgust.npy,0,ok
S129,012,5,happiness,11,/kaggle/working/landmarks/S129_012_happiness.npy,0,ok
S130,001,7,surprise,18,/kaggle/working/landmarks/S130_001_surprise.npy,0,ok
S130,007,1,anger,20,/kaggle/working/landmarks/S130_007_anger.npy,0,ok
S130,009,6,sadness,19,/kaggle/working/landmarks/S130_009_sadness.npy,0,ok
S130,012,3,disgust,11,/kaggle/working/landmarks/S130_012_disgust.npy,0,ok
S130,013,5,happiness,15,/kaggle/working/landmarks/S130_013_happiness.npy,0,ok
S131,001,7,surprise,16,/kaggle/working/landmarks/S131_001_surprise.npy,0,ok
S131,003,6,sadness,24,/kaggle/working/landmarks/S131_003_sadness.npy,0,ok
S131,006,5,happiness,22,/kaggle/working/landmarks/S131_006_happiness.npy,0,ok
S131,010,3,disgust,18,/kaggle/working/landmarks/S131_010_disgust.npy,0,ok
S132,002,6,sadness,18,/kaggle/working/landmarks/S132_002_sadness.npy,0,ok
S132,003,4,fear,23,/kaggle/working/landmarks/S132_003_fear.npy,0,ok
S132,005,3,disgust,16,/kaggle/working/landmarks/S132_005_disgust.npy,0,ok
S132,006,5,happiness,23,/kaggle/working/landmarks/S132_006_happiness.npy,0,ok
S132,008,7,surprise,10,/kaggle/working/landmarks/S132_008_surprise.npy,0,ok
S133,003,1,anger,47,/kaggle/working/landmarks/S133_003_anger.npy,0,ok
S133,009,7,surprise,6,/kaggle/working/landmarks/S133_009_surprise.npy,0,ok
S133,010,5,happiness,14,/kaggle/working/landmarks/S133_010_happiness.npy,0,ok
S134,003,1,anger,11,/kaggle/working/landmarks/S134_003_anger.npy,0,ok
S134,004,5,happiness,15,/kaggle/working/landmarks/S134_004_happiness.npy,0,ok
S134,008,3,disgust,13,/kaggle/working/landmarks/S134_008_disgust.npy,0,ok
S135,001,7,surprise,39,/kaggle/working/landmarks/S135_001_surprise.npy,0,ok
S135,012,5,happiness,20,/kaggle/working/landmarks/S135_012_happiness.npy,0,ok
S136,001,7,surprise,19,/kaggle/working/landmarks/S136_001_surprise.npy,0,ok
S136,003,6,sadness,14,/kaggle/working/landmarks/S136_003_sadness.npy,0,ok
S136,005,1,anger,10,/kaggle/working/landmarks/S136_005_anger.npy,0,ok
S136,006,5,happiness,20,/kaggle/working/landmarks/S136_006_happiness.npy,0,ok
S137,001,7,surprise,14,/kaggle/working/landmarks/S137_001_surprise.npy,0,ok
S137,005,6,sadness,27,/kaggle/working/landmarks/S137_005_sadness.npy,0,ok
S137,011,5,happiness,20,/kaggle/working/landmarks/S137_011_happiness.npy,0,ok
S138,001,4,fear,12,/kaggle/working/landmarks/S138_001_fear.npy,0,ok
S138,004,7,surprise,13,/kaggle/working/landmarks/S138_004_surprise.npy,0,ok
S138,005,5,happiness,16,/kaggle/working/landmarks/S138_005_happiness.npy,0,ok
S138,007,6,sadness,11,/kaggle/working/landmarks/S138_007_sadness.npy,0,ok
S501,001,1,anger,67,/kaggle/working/landmarks/S501_001_anger.npy,0,ok
S501,004,4,fear,56,/kaggle/working/landmarks/S501_004_fear.npy,0,ok
S501,006,6,sadness,41,/kaggle/working/landmarks/S501_006_sadness.npy,0,ok
S502,001,1,anger,16,/kaggle/working/landmarks/S502_001_anger.npy,0,ok
S502,004,4,fear,52,/kaggle/working/landmarks/S502_004_fear.npy,0,ok
S503,001,1,anger,71,/kaggle/working/landmarks/S503_001_anger.npy,0,ok
S503,006,6,sadness,20,/kaggle/working/landmarks/S503_006_sadness.npy,0,ok
S504,001,1,anger,22,/kaggle/working/landmarks/S504_001_anger.npy,0,ok
S504,004,4,fear,15,/kaggle/working/landmarks/S504_004_fear.npy,0,ok
S504,006,6,sadness,18,/kaggle/working/landmarks/S504_006_sadness.npy,0,ok
S505,006,6,sadness,19,/kaggle/working/landmarks/S505_006_sadness.npy,0,ok
S506,001,1,anger,40,/kaggle/working/landmarks/S506_001_anger.npy,0,ok
S506,004,4,fear,38,/kaggle/working/landmarks/S506_004_fear.npy,0,ok
S506,006,6,sadness,42,/kaggle/working/landmarks/S506_006_sadness.npy,0,ok
S999,001,1,anger,18,/kaggle/working/landmarks/S999_001_anger.npy,0,ok
S999,003,4,fear,55,/kaggle/working/landmarks/S999_003_fear.npy,0,ok
